period,category,actual_sales,sample_sales,factor,estimated_sales,method,error,error_pct
2016-12-26,AUTOMOTIVE,5.0,0.0,2.3097340641494113,0.0,category_level,-5.0,-1.0
2016-12-26,BABY CARE,2.0,0.0,2.7843336724313326,0.0,category_level,-2.0,-1.0
2016-12-26,BEAUTY,3.0,0.0,1.964977908689249,0.0,category_level,-3.0,-1.0
2016-12-26,BEVERAGES,4008.0,0.0,1.9544707649760995,0.0,category_level,-4008.0,-1.0
2016-12-26,BREAD/BAKERY,490.573,0.0,1.998859798703634,0.0,category_level,-490.573,-1.0
2016-12-26,CELEBRATION,7.0,0.0,2.1235664881036094,0.0,category_level,-7.0,-1.0
2016-12-26,CLEANING,405.0,0.0,2.160055926029575,0.0,category_level,-405.0,-1.0
2016-12-26,DAIRY,622.0,0.0,1.9121646467618958,0.0,category_level,-622.0,-1.0
2016-12-26,DELI,195.975,0.0,2.1488492897387452,0.0,category_level,-195.975,-1.0
2016-12-26,EGGS,103.0,0.0,2.1220284663136915,0.0,category_level,-103.0,-1.0
2016-12-26,FROZEN FOODS,777.0,0.0,1.988447322739547,0.0,category_level,-777.0,-1.0
2016-12-26,GROCERY I,1998.0,0.0,2.085151890718367,0.0,category_level,-1998.0,-1.0
2016-12-26,GROCERY II,17.0,0.0,1.8644683666958146,0.0,category_level,-17.0,-1.0
2016-12-26,HOME AND KITCHEN I,44.0,0.0,2.197046924277659,0.0,category_level,-44.0,-1.0
2016-12-26,HOME AND KITCHEN II,16.0,0.0,1.972988890810063,0.0,category_level,-16.0,-1.0
2016-12-26,HOME CARE,139.0,0.0,2.0762181732311964,0.0,category_level,-139.0,-1.0
2016-12-26,LAWN AND GARDEN,32.0,0.0,2.0002537922417662,0.0,category_level,-32.0,-1.0
2016-12-26,LINGERIE,3.0,0.0,2.2340314952445297,0.0,category_level,-3.0,-1.0
2016-12-26,"LIQUOR,WINE,BEER",875.0,0.0,2.188090607257225,0.0,category_level,-875.0,-1.0
2016-12-26,MAGAZINES,4.0,0.0,1.825972405186161,0.0,category_level,-4.0,-1.0
2016-12-26,MEATS,270.711,0.0,1.9545183747007162,0.0,category_level,-270.711,-1.0
2016-12-26,PERSONAL CARE,142.0,0.0,2.122711634769719,0.0,category_level,-142.0,-1.0
2016-12-26,PET SUPPLIES,4.0,0.0,1.7322586922677738,0.0,category_level,-4.0,-1.0
2016-12-26,PLAYERS AND ELECTRONICS,12.0,0.0,1.8749182600507441,0.0,category_level,-12.0,-1.0
2016-12-26,POULTRY,154.199,0.0,1.7357902329698607,0.0,category_level,-154.199,-1.0
2016-12-26,PREPARED FOODS,56.198997,0.0,1.8430942976670825,0.0,category_level,-56.198997,-1.0
2016-12-26,PRODUCE,1682.844,0.0,1.7836736155071242,0.0,category_level,-1682.844,-1.0
2016-12-26,SEAFOOD,14.0,0.0,1.5097721180857726,0.0,category_level,-14.0,-1.0
2017-01-02,AUTOMOTIVE,3165.0,1412.0,2.3097340641494113,3261.344498578969,category_level,96.3444985789688,0.030440599866972763
2017-01-02,BABY CARE,109.0,45.0,2.7843336724313326,125.29501525940996,category_level,16.295015259409965,0.14949555283862354
2017-01-02,BEAUTY,3230.0,1690.0,1.964977908689249,3320.812665684831,category_level,90.81266568483079,0.02811537637301263
2017-01-02,BEVERAGES,1714281.0,912366.0,1.9544707649760995,1783192.673958184,category_level,68911.67395818396,0.040198587021721625
2017-01-02,BOOKS,227.0,153.0,1.6005528680027643,244.88458880442295,category_level,17.884588804422947,0.07878673482124646
2017-01-02,BREAD/BAKERY,245140.9849,126944.496,1.998859798703634,253744.24972109427,category_level,8603.264821094257,0.03509517115060859
2017-01-02,CELEBRATION,5355.0,2589.0,2.1235664881036094,5497.913637700245,category_level,142.9136377002451,0.026687887525722705
2017-01-02,CLEANING,620914.0,302607.0,2.160055926029575,653648.0436080316,category_level,32734.043608031585,0.05271912633316624
2017-01-02,DAIRY,434559.0,230918.0,1.9121646467618958,441553.2359009634,category_level,6994.235900963424,0.016095020241125885
